Order ID,Order Date,Item Name,Quantity,Product Price,Total products
25522,02/08/2019 12:04,Royal Paneer,1,5.95,10
25522,02/08/2019 12:04,Achar Chicken,1,8.95,10
25522,02/08/2019 12:04,Curry - Chicken Tikka,1,8.95,10
25522,02/08/2019 12:04,Naan,2,2.5,10
25522,02/08/2019 12:04,Tandoori Roti,1,2.5,10
25522,02/08/2019 12:04,Plain Rice,1,2.95,10
25522,02/08/2019 12:04,Pilau Rice,1,2.95,10
25522,02/08/2019 12:04,Saag Paneer,2,5.95,10
25522,02/08/2019 12:04,Bhindi Bhajee,1,5.95,10
25521,01/08/2019 22:50,Chicken Chaat,1,4.95,8
25521,01/08/2019 22:50,Plain Papadum,3,0.8,8
25521,01/08/2019 22:50,Korma - Chicken,1,8.95,8
25521,01/08/2019 22:50,Saag - Chicken,1,8.95,8
25521,01/08/2019 22:50,Naan,1,2.5,8
25521,01/08/2019 22:50,Garlic Naan,1,2.95,8
25521,01/08/2019 22:50,Keema Naan,1,2.95,8
25521,01/08/2019 22:50,Pilau Rice,2,2.95,8
25520,01/08/2019 22:25,Chicken Balti,1,9.95,2
25520,01/08/2019 22:25,Lamb Balti,1,9.95,2
25519,01/08/2019 21:13,Bombay Aloo,1,5.95,3
25519,01/08/2019 21:13,Bhuna - Chicken,1,8.95,3
25519,01/08/2019 21:13,Plain Rice,1,2.95,3
25518,01/08/2019 21:13,Mini Bhaji,1,3.95,7
25518,01/08/2019 21:13,King Prawn Puree,1,5.95,7
25518,01/08/2019 21:13,Lamb Shashlick Curry,1,10.95,7
25518,01/08/2019 21:13,Puree,1,1.95,7
25518,01/08/2019 21:13,Mushroom Rice,1,3.95,7
25518,01/08/2019 21:13,Saag Aloo,1,5.95,7
25518,01/08/2019 21:13,Chicken Tikka,1,4.95,7
25517,01/08/2019 21:04,Vindaloo - Chicken,1,7.95,4
25517,01/08/2019 21:04,Naan,1,2.5,4
25517,01/08/2019 21:04,Bombay Aloo,1,5.95,4
25517,01/08/2019 21:04,Madras - Chicken,1,7.95,4
25516,01/08/2019 20:12,Chicken Chaat (Main),1,8.95,3
25516,01/08/2019 20:12,Bombay Aloo,1,5.95,3
25516,01/08/2019 20:12,Naan,1,2.5,3
25515,01/08/2019 20:01,Chicken Chaat,1,4.95,1
25514,01/08/2019 19:59,Garlic Naan,1,2.95,4
25514,01/08/2019 19:59,Paratha,1,2.95,4
25514,01/08/2019 19:59,Masala Sauce,1,4.95,4
25514,01/08/2019 19:59,Mushroom Rice,1,3.95,4
25513,01/08/2019 19:34,Tandoori Chicken,1,4.95,5
25513,01/08/2019 19:34,Chicken Tikka Biryani,1,10.95,5
25513,01/08/2019 19:34,Naan,1,2.5,5
25513,01/08/2019 19:34,Lamb Balti,1,9.95,5
25513,01/08/2019 19:34,Pilau Rice,1,2.95,5
25512,01/08/2019 19:30,Chicken Tikka Masala,1,8.95,8
25512,01/08/2019 19:30,Dupiaza - Chicken,1,8.95,8
25512,01/08/2019 19:30,Special Fried Rice,1,3.95,8
25512,01/08/2019 19:30,Plain Rice,1,2.95,8
25512,01/08/2019 19:30,Naan,1,2.5,8
25512,01/08/2019 19:30,Aloo Gobi,1,5.95,8
25512,01/08/2019 19:30,Mini Bhaji,1,3.95,8
25512,01/08/2019 19:30,Onion Bhaji,1,3.95,8
25511,01/08/2019 19:16,Pilau Rice,1,2.95,4
25511,01/08/2019 19:16,Naan,1,2.5,4
25511,01/08/2019 19:16,Curry - Chicken,1,7.95,4
25511,01/08/2019 19:16,Bottle Coke,1,2.95,4
25510,01/08/2019 18:29,Chicken Biryani,3,9.95,3
